会社名,slug,業界,factsheet,10コマ,企業紹介,決算書,AI OB
マツキヨココカラ＆カンパニー,matsukiyococokara,小売・流通,✓,,,,✓
コスモス薬品,cosmos-pharma,小売・流通,✓,,,,✓
スギホールディングス,sugi-hd,小売・流通,✓,,,,✓
カインズ,cainz,小売・流通,✓,,,,✓
DCMホールディングス,dcm-hd,小売・流通,✓,,,,✓
コメリ,komeri,小売・流通,✓,,,,✓
ZOZO,zozo,小売・流通,✓,,,,✓
サンドラッグ,sundrug,小売・流通,✓,,,,✓
サントリーホールディングス,suntory,食品・飲料,✓,✓,,,✓
アサヒグループホールディングス,asahi-group,食品・飲料,✓,✓,,,✓
キリンホールディングス,kirin-hd,食品・飲料,✓,✓,,,✓
味の素,ajinomoto,食品・飲料,✓,✓,,,✓
明治ホールディングス,meiji-hd,食品・飲料,✓,✓,,,✓
日本ハム,nipponham,食品・飲料,✓,✓,,,✓
山崎製パン,yamazaki-pan,食品・飲料,✓,✓,,,✓
日清食品ホールディングス,nissin-hd,食品・飲料,✓,✓,,,✓
キッコーマン,kikkoman,食品・飲料,✓,✓,,,✓
カゴメ,kagome,食品・飲料,✓,✓,,,✓
江崎グリコ,ezaki-glico,食品・飲料,✓,✓,,,✓
森永製菓,morinaga-seika,食品・飲料,✓,✓,,,✓
森永乳業,morinaga-milk,食品・飲料,✓,✓,,,✓
雪印メグミルク,yukijirushi-megmilk,食品・飲料,✓,✓,,,✓
ハウス食品グループ本社,house-foods,食品・飲料,✓,✓,,,✓
伊藤園,itoen,食品・飲料,✓,✓,,,✓
ニチレイ,nichirei,食品・飲料,✓,✓,,,✓
カルビー,calbee,食品・飲料,✓,✓,,,✓
ヤクルト本社,yakult,食品・飲料,✓,✓,,,✓
サッポロホールディングス,sapporo-hd,食品・飲料,✓,✓,,,✓
キユーピー,kewpie,食品・飲料,✓,✓,,,✓
不二製油グループ本社,fuji-oil-hd,食品・飲料,✓,✓,,,✓
ロッテ,lotte,食品・飲料,✓,✓,,,✓
花王,kao,日用品・化粧品,✓,,,,
資生堂,shiseido,日用品・化粧品,✓,,,,✓
コーセー,kose,日用品・化粧品,✓,,,,✓
ユニ・チャーム,unicharm,日用品・化粧品,✓,,,,✓
ライオン,lion,日用品・化粧品,✓,,,,✓
ポーラ・オルビスホールディングス,pola-orbis-hd,日用品・化粧品,✓,,,,✓
小林製薬,kobayashi-pharma,日用品・化粧品,✓,,,,✓
JR東日本（東日本旅客鉄道）,jr-east,航空・運輸・物流,✓,✓,,,✓
JR東海（東海旅客鉄道）,jr-central,航空・運輸・物流,✓,✓,,,✓
JR西日本（西日本旅客鉄道）,jr-west,航空・運輸・物流,✓,✓,,,✓
ANAホールディングス,ana-hd,航空・運輸・物流,✓,✓,,,✓
JAL（日本航空）,jal,航空・運輸・物流,✓,✓,,,✓
日本郵船,nyk,航空・運輸・物流,✓,,,,✓
商船三井,mol,航空・運輸・物流,✓,,,,✓
川崎汽船,k-line,航空・運輸・物流,✓,,,,✓
NIPPON EXPRESS ホールディングス（日本通運）,nippon-express-hd,航空・運輸・物流,✓,,,,✓
ヤマトホールディングス,yamato-hd,航空・運輸・物流,✓,,,,✓
SGホールディングス（佐川急便）,sg-hd,航空・運輸・物流,✓,,,,✓
セイノーホールディングス,seino-hd,航空・運輸・物流,✓,,,,✓
近鉄グループホールディングス,kintetsu-group-hd,航空・運輸・物流,✓,,,,✓
阪急阪神ホールディングス,hankyu-hanshin-hd,航空・運輸・物流,✓,,,,✓
東急,tokyu,航空・運輸・物流,✓,,,,✓
小田急電鉄,odakyu,航空・運輸・物流,✓,,,,✓
東武鉄道,tobu,航空・運輸・物流,✓,,,,✓
西武ホールディングス,seibu-hd,航空・運輸・物流,✓,,,,✓
名古屋鉄道,meitetsu,航空・運輸・物流,✓,,,,✓
京浜急行電鉄,keikyu,航空・運輸・物流,✓,,,,✓
電通,dentsu,広告・メディア,✓,✓,,,
博報堂DYホールディングス,hakuhodo-dy,広告・メディア,✓,✓,,,✓
ADKホールディングス,adk-hd,広告・メディア,✓,✓,,,✓
日本テレビホールディングス,ntv-hd,広告・メディア,✓,,,,✓
TBSホールディングス,tbs-hd,広告・メディア,✓,,,,✓
フジ・メディア・ホールディングス,fuji-media-hd,広告・メディア,✓,,,,✓
テレビ朝日ホールディングス,tv-asahi-hd,広告・メディア,✓,,,,✓
テレビ東京ホールディングス,tv-tokyo-hd,広告・メディア,✓,,,,✓
スカパーJSATホールディングス,skyperfectjsat-hd,広告・メディア,✓,,,,✓
WOWOW,wowow,広告・メディア,✓,,,,✓
KADOKAWA,kadokawa,広告・メディア,✓,,,,✓
集英社,shueisha,広告・メディア,✓,,,,✓
講談社,kodansha,広告・メディア,✓,,,,
小学館,shogakukan,広告・メディア,✓,,,,✓
